"""0"", ""Bad Fallingbostel"", ""Fallingbostel, 52.866414"", ""9.695579"", ""Germany"", ""DE"", ""Bad Fallingbostel"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Halle"", ""51.481473"", ""11.967112"", ""Germany"", ""DE"", ""Halle"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Bamberg"", ""49.893174"", ""10.88883"", ""Germany"", ""DE"", ""Bamberg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Fuerstenfeldbruck"", ""48.18662"", ""11.27586"", ""Germany"", ""DE"", ""Fuerstenfeldbruck"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Neuss"", ""51.198071"", ""6.685037"", ""Germany"", ""DE"", ""Neuss"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Bad Kreuznach"", ""Kreuznach, 49.841396"", ""7.867127"", ""Germany"", ""DE"", ""Bad Kreuznach"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Heilbronn"", ""49.13995"", ""9.220541"", ""Germany"", ""DE"", ""Heilbronn"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Bad Ems"", ""Ems, 50.332737"", ""7.717548"", ""Germany"", ""DE"", ""Bad Ems"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Schwaebisch Hall"", ""Hall, 49.105833"", ""9.734167"", ""Germany"", ""DE"", ""Schwaebisch Hall"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Offenburg"", ""48.473768"", ""7.944946"", ""Germany"", ""DE"", ""Offenburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Saalfeld"", ""50.648259"", ""11.365363"", ""Germany"", ""DE"", ""Saalfeld"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Wolfenbuettel"", ""52.164421"", ""10.540946"", ""Germany"", ""DE"", ""Wolfenbuettel"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Altenkirchen"", ""50.685945"", ""7.64176"", ""Germany"", ""DE"", ""Altenkirchen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Pforzheim"", ""48.884361"", ""8.698923"", ""Germany"", ""DE"", ""Pforzheim"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Guenzburg"", ""48.455989"", ""10.276951"", ""Germany"", ""DE"", ""Guenzburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Euskirchen"", ""50.660569"", ""6.787224"", ""Germany"", ""DE"", ""Euskirchen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Chemnitz"", ""50.835701"", ""12.929217"", ""Germany"", ""DE"", ""Chemnitz"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Rendsburg"", ""54.306634"", ""9.663126"", ""Germany"", ""DE"", ""Rendsburg"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Tirschenreuth"", ""49.884428"", ""12.337277"", ""Germany"", ""DE"", ""Tirschenreuth"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Offenbach"", ""50.100605"", ""8.766466"", ""Germany"", ""DE"", ""Offenbach"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Uelzen"", ""52.96572"", ""10.561106"", ""Germany"", ""DE"", ""Uelzen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Zwickau"", ""50.72724"", ""12.488394"", ""Germany"", ""DE"", ""Zwickau"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Schwabach"", ""49.330468"", ""11.023461"", ""Germany"", ""DE"", ""Schwabach"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Gelsenkirchen"", ""51.507502"", ""7.122826"", ""Germany"", ""DE"", ""Gelsenkirchen"", ""minor"", """", """", ""20-20"", ""20-20"""
"""0"", ""Mettmann"", ""51.250404"", ""6.975361"", ""Germany"", ""DE"", ""Mettmann"", ""minor"", """", """", ""20-20"", ""20-20"""
